Country,Organization
National/regional authorities or agencies that implement some form of research assessment and their associations,Quality Assurance Agency in Higher Education of Andorra
National/regional authorities or agencies that implement some form of research assessment and their associations,German Science and Humanities Council
National/regional authorities or agencies that implement some form of research assessment and their associations,ACPUA Aragon Agency for QA & Strategic  Foresight in Higher Education
National/regional authorities or agencies that implement some form of research assessment and their associations,Spanish Foundation for Science and Technology (FECYT)
National/regional authorities or agencies that implement some form of research assessment and their associations,National Agency for Quality Assessment and Accreditation of Spain (ANECA)
National/regional authorities or agencies that implement some form of research assessment and their associations,Balearic Agency for Quality Assurance in Higher Education
National/regional authorities or agencies that implement some form of research assessment and their associations,Higher Education Council of Latvia
National/regional authorities or agencies that implement some form of research assessment and their associations,"Ministry of Education, Youth and Sports, Czech Republic"
National/regional authorities or agencies that implement some form of research assessment and their associations,Agencia Valenciana d'Avaluacio i Prospectiva
National/regional authorities or agencies that implement some form of research assessment and their associations,Swedish Higher Education Authority
National/regional authorities or agencies that implement some form of research assessment and their associations,Agency for Health Quality and Assessment of Catalonia (AQuAs)
National/regional authorities or agencies that implement some form of research assessment and their associations,Agència per a la Qualitat del Sistema Universitari de Catalunya
National/regional authorities or agencies that implement some form of research assessment and their associations,Agency for Scientific and University Quality of Andalusia (ACCUA)
National/regional authorities or agencies that implement some form of research assessment and their associations,Slovak Accreditation Agency for Higher Education
National/regional authorities or agencies that implement some form of research assessment and their associations,Romanian Agency for Quality Assurance in Higher Education (ARACIS)
National/regional authorities or agencies that implement some form of research assessment and their associations,Italian National Agency for the Evaluation of Universities and Research Institutes (ANVUR)
National/regional authorities or agencies that implement some form of research assessment and their associations,Haut Conseil de l'évaluation de la recherche et de l'enseignement supérieur
Netherlands,Netherlands Federation of University Medical Centres (NFU)
Netherlands,Dutch Heart Foundation
Netherlands,Saxion University of Applied Sciences
Netherlands,Assistant Professor Network Netherlands
Netherlands,Amsterdam University of Applied Sciences
Netherlands,Netherlands eScience Center
Netherlands,University Medical Center Groningen
Netherlands,Open Universiteit
Netherlands,University of Amsterdam
Netherlands,Erasmus University Rotterdam
Netherlands,Sanquin Blood Supply
Netherlands,University of Humanistic Studies
Netherlands,Wageningen Young Academy
Netherlands,Tilburg University
Netherlands,The Netherlands Cancer Institute
Netherlands,Eindhoven University of Technology TU/e
Netherlands,Radboud University
Netherlands,TU Delft
Netherlands,University of Groningen
Netherlands,ZonMw
Netherlands,Leiden University
Netherlands,Erasmus University Medical Center
Netherlands,Association of Universities of the Netherlands
Netherlands,University Medical Center Utrecht
Netherlands,Nederlandse Organisatie voor Wetenschappelijk Onderzoek
Netherlands,University of Twente
Netherlands,DANS-KNAW
Netherlands,Wageningen University & Research
Netherlands,Vrije Universiteit Amsterdam
Netherlands,Maastricht University
Netherlands,The Royal Netherlands Academy of Arts and Sciences
Netherlands,Utrecht University
Nigeria,Ambrose Alli University
North Macedonia,The Institute for Research and European Studies (IRES)
North Macedonia,"University ""St. Kliment Ohridski"" - Bitola"
North Macedonia,Ss. Cyril and Methodius University in Skopje
Norway,Norwegian Academy of Music
Norway,VID Specialized University
Norway,Molde University College. Specialized University in Logistics
Norway,"NIFU Nordic institute for studies in innovation, research and education"
Norway,Norwegian University of Life Sciences NMBU
Norway,Lovisenberg Diaconal University College
Norway,Inland Norway University of Applied Sciences
Norway,"MF Norwegian School of Theology, Religion and Society"
Norway,Universitetet i Bergen
Norway,Oslo Metropolitan University
Norway,The University of Oslo
Norway,Norwegian University of Science and Technology (NTNU)
Norway,University of South-Eastern Norway
Norway,University of Agder
Norway,UiT The Arctic University of Norway
Norway,University of Stavanger
Norway,Norwegian School of Sport Sciences
Norway,Østfold University College
Norway,Universities Norway
Norway,The Research Council of Norway
"Other relevant non-for-profit organisations involved with research assessment, and their associations",European Institute of Education and Social Policy
"Other relevant non-for-profit organisations involved with research assessment, and their associations",German Society of Sport Science
"Other relevant non-for-profit organisations involved with research assessment, and their associations",ORPHEUS- Quality in Doctoral Education
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Index Foundation
"Other relevant non-for-profit organisations involved with research assessment, and their associations",European Citizen Science Association (ECSA)
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Institute of Evaluation and Advanced Engineering
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Foundation for the Promotion of Health and Biomedical Research in the Valencian Region (FISABIO)
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Olkejuado Adult and Continuing Education Association
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Fondazione IRCCS Istituto Neurologico Carlo Besta
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Austrian Agency for Research Integrity
"Other relevant non-for-profit organisations involved with research assessment, and their associations","CODATA, the Committee on Data of the International Science Council"
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Jisc
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Consortium of European Taxonomic Facilities
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Society of Research Software Engineering
"Other relevant non-for-profit organisations involved with research assessment, and their associations",ASTP Proton
"Other relevant non-for-profit organisations involved with research assessment, and their associations",UK Reproducibility Network
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Confederation of Open Access Repositories
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Institute for Open Science and Innovation
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Research!Sweden
"Other relevant non-for-profit organisations involved with research assessment, and their associations",The Association of Research Managers and Administrators (ARMA UK)
"Other relevant non-for-profit organisations involved with research assessment, and their associations",EOSC Association AISBL
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Polish Rectors Foundation
"Other relevant non-for-profit organisations involved with research assessment, and their associations",European Office of Cyprus
"Other relevant non-for-profit organisations involved with research assessment, and their associations",European Science Foundation - Science Connect
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Physical Activity and Sports Tech for Healthy Lifestyles
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Open Science Community Sweden
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Italian Reproducibility Network
"Other relevant non-for-profit organisations involved with research assessment, and their associations",UK Research Integrity Office
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Research Software Alliance
"Other relevant non-for-profit organisations involved with research assessment, and their associations",CRAC-Vitae
"Other relevant non-for-profit organisations involved with research assessment, and their associations",National Library of Technology
"Other relevant non-for-profit organisations involved with research assessment, and their associations",HuMetricsHSS Initiative
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Research Data Alliance
"Other relevant non-for-profit organisations involved with research assessment, and their associations",European Alliance for SSH
"Other relevant non-for-profit organisations involved with research assessment, and their associations",NGO Growth Pole
"Other relevant non-for-profit organisations involved with research assessment, and their associations",European Association of Research Managers and Administrators
"Other relevant non-for-profit organisations involved with research assessment, and their associations",SPARC Europe
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Institutul pentru Educatie
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Research Data Alliance Association AISBL
"Other relevant non-for-profit organisations involved with research assessment, and their associations",International Consortium of Research Staff Organisations
"Other relevant non-for-profit organisations involved with research assessment, and their associations","EuroScience, the European Association for the Advancement of Science and Technology"
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Institutul Naţional de Cercetare-Dezvoltare în Domeniul Patologiei şi Ştiinţelor Biomedicale „VICTOR BABEŞ”
"Other relevant non-for-profit organisations involved with research assessment, and their associations",SCImPULSE Foundation
"Other relevant non-for-profit organisations involved with research assessment, and their associations",OpenAIRE AMKE
"Other relevant non-for-profit organisations involved with research assessment, and their associations",INORMS
"Other relevant non-for-profit organisations involved with research assessment, and their associations",European Women Rectors Association
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Beilstein-Institut
"Other relevant non-for-profit organisations involved with research assessment, and their associations",ÖPUK Oesterreichische Privatuniversitätenkonferenz
"Other relevant non-for-profit organisations involved with research assessment, and their associations",Initiative for Science in Europe
"Other relevant non-for-profit organisations involved with research assessment, and their associations",DANS-KNAW
Panama,International University of Science and Technology UNICyT
Peru,Peruvian society of science and innovation
Peru,Sociedad Científica de Bibliometría y Cienciometría
Poland,Kozminski University
Poland,Medical University of Lublin
Poland,Kazimierz Wielki University
Poland,University of Białystok
Poland,University of Rzeszow
Poland,West Pomeranian University of Technology in Szczecin
Poland,National Information Processing Institute
Poland,Lublin University of Technology
Poland,Gdańsk University of Technology
Poland,Adam Mickiewicz University
Poland,Polish Rectors Foundation
Poland,Foundation for Polish Science
Poland,Medical University of Warsaw
Poland,Vistula University
Poland,Maria Curie-Sklodowska University
Poland,Medical University of Lodz
Poland,AGH University of Science and Technology
Poland,Andrzej Frycz Modrzewski Krakow University
Poland,SWPS University
Poland,Cardinal Stefan Wyszyński University in Warsaw
Poland,WSB University
Poland,Collegium Civitas
Poland,Poznan University of Technlogy
Poland,Polish Young Academy (of Polish Academy of Sciences)
Poland,SGH Warsaw School of Ecominics
Poland,University of Opole
Poland,Politechnika Krakowska im. Tadeusza Kościuszki
Poland,"Institute of Polish Language, Polish Academy of Sciences"
Poland,Silesian University of Technology
Poland,The Strzemiński Academy of Fine Arts Łódź
Poland,Lodz University of Technology
Poland,University of Szczecin
Poland,Medical University of Gdańsk
Poland,Wroclaw Medical University
Poland,Academy of Physical Education in Katowice
Poland,Rzeszów University of Technology
Poland,University of Lodz
Poland,Maria Grzegorzewska University
Poland,Akademia Bialska Nauk Stosowanych im. Jana Pawła II
Poland,Polish-Japanese Academy of Information Technology
Poland,Wroclaw University of Health and Sport Sciences
Poland,The John Paul II Catholic University of Lublin
Poland,University of Agriculture in Krakow
Poland,University of Silesia in Katowice
Poland,Nicolaus Copernicus University in Toruń
Poland,Józef Piłsudski University of Physical Education in Warsaw
Poland,Poznań University of Economics and Business
Poland,"Institute of Human Genetics, Polish Academy of Sciences"
Poland,Instytut Slawistyki Polskiej Akademii Nauk
Poland,Wroclaw University of Environmental and Life Sciences
Poland,Jan Dlugosz University in Czestochowa
Poland,Conference of Rectors of Academic Schools in Poland
Poland,"Institute of Rural and Agricultural Development, Polish Academy of Sciences (IRWiR PAN)"
Poland,Jagiellonian University in Krakow
Poland,"Institute of Philosophy and Sociology, Polish Academy of Sciences"
Poland,University of Warsaw
Poland,Koszalin University of Technology
Poland,University of Gdańsk
Poland,Wroclaw University of Economics and Business
Poland,The Polish Academy of Sciences
Portugal,INESC INOV-Lab (INESC INOV - Research & Development Laboratory)
Portugal,Institute for Systems Engineering and Computers at Coimbra - INESC Coimbra
Portugal,University of Algarve
Portugal,Universidade Aberta
Portugal,Portucalense University
Portugal,Interdisciplinary Centre of Marine and Environmental Research (CIIMAR)
Portugal,Madeira Chemistry Research Centre
Portugal,University of Évora
Portugal,Universidade de Aveiro
Portugal,Universidade de Lisboa
Portugal,Lusofona University
Portugal,Centre for Social Studies
Portugal,"INESC-ID: Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento em Lisboa"
Portugal,University of Porto
Portugal,University of the Azores
Portugal,Polytecnic University of Setúbal
Portugal,Interdisciplinary Center for Archaeology and the Evolution of Human Behaviour
Portugal,Iscte-Instituto Universitário de Lisboa
Portugal,NOVA University Lisbon
Portugal,Instituto de Investigação e Inovação em Saúde
Portugal,Universidade Católica Portuguesa
Portugal,INESC MN
Portugal,INESC Brussels HUB
Portugal,Centro de Investigação em Artes e Comunicação - CIAC
Portugal,Universidade de Coimbra
Portugal,"INESC TEC – Institute for Systems and Computer Engineering, Technology and Science"
Portugal,Fundação para a Ciência e a Tecnologia
Portugal,Universidade do Minho
Portugal,Universidade de Trás-os-Montes e Alto Douro
Public or private research funding organisations and their associations,Sciensano
Public or private research funding organisations and their associations,National Health and Medical Research Council
Public or private research funding organisations and their associations,Alexander von Humboldt Foundation
Public or private research funding organisations and their associations,JOANNEUM RESEARCH
Public or private research funding organisations and their associations,IrsiCaixa
Public or private research funding organisations and their associations,Dutch Heart Foundation
Public or private research funding organisations and their associations,Seneca Foundation - Science and Technology Agency of the Region of Murcia
Public or private research funding organisations and their associations,VELUX FONDEN
Public or private research funding organisations and their associations,Villum Foundation
Public or private research funding organisations and their associations,Wellcome Trust
Public or private research funding organisations and their associations,Fund for Scientific Research - FNRS
Public or private research funding organisations and their associations,Irish Research Council
Public or private research funding organisations and their associations,Christian Doppler Research Association
Public or private research funding organisations and their associations,Aragonese Foundation for Research & Development (ARAID)
Public or private research funding organisations and their associations,Latvian Council of Science
Public or private research funding organisations and their associations,European Research Council
Public or private research funding organisations and their associations,Shota Rustaveli National Science Foundation
Public or private research funding organisations and their associations,Foundation for Polish Science
Public or private research funding organisations and their associations,Science Foundation Ireland
Public or private research funding organisations and their associations,"Forte: Swedish Research Council for Health, Working Life and Welfare"
Public or private research funding organisations and their associations,Institute of Health Carlos III
Public or private research funding organisations and their associations,ARRS - Slovenian Research Agency
Public or private research funding organisations and their associations,Sanquin Blood Supply
Public or private research funding organisations and their associations,Swedish Research Council
Public or private research funding organisations and their associations,VINNOVA – Swedish Governmental Agency for Innovation Systems
Public or private research funding organisations and their associations,cOAlition S
Public or private research funding organisations and their associations,Estonian Research Council
Public or private research funding organisations and their associations,COST Association
Public or private research funding organisations and their associations,Academy of Finland
Public or private research funding organisations and their associations,Research Council of Lithuania
Public or private research funding organisations and their associations,UK Research and Innovation (UKRI)
Public or private research funding organisations and their associations,European Commission
Public or private research funding organisations and their associations,Lundbeck Foundation
Public or private research funding organisations and their associations,Knowledge Foundation / KK-stiftelsen
Public or private research funding organisations and their associations,National Research Foundation of Ukraine
Public or private research funding organisations and their associations,ANRS | MIE
Public or private research funding organisations and their associations,ZonMw
Public or private research funding organisations and their associations,Institut National du Cancer
Public or private research funding organisations and their associations,Health Research Board
Public or private research funding organisations and their associations,Icelandic Centre for Research
Public or private research funding organisations and their associations,"Formas, The Swedish Research Council for the Environment, Agricultural Science and Spatial Planning"
Public or private research funding organisations and their associations,Independent Research Fund Denmark
Public or private research funding organisations and their associations,The Danish National Research Foundation
Public or private research funding organisations and their associations,FWF Austrian Science Fund
Public or private research funding organisations and their associations,Fundação para a Ciência e a Tecnologia
Public or private research funding organisations and their associations,Swiss National Science Foundation
Public or private research funding organisations and their associations,Czech Science Foundation
Public or private research funding organisations and their associations,Luxembourg National Research Fund
Public or private research funding organisations and their associations,The Research Council of Norway
Public or private research funding organisations and their associations,Science Europe
Public or private research funding organisations and their associations,ANR (French National Research Agency)
Public or private research funding organisations and their associations,"Executive Agency for Higher Education, Research, Development & Innovation Funding-UEFISCDI"
Public or private research funding organisations and their associations,Nederlandse Organisatie voor Wetenschappelijk Onderzoek
Public or private research funding organisations and their associations,Research Foundation Flanders - FWO
Public or private research funding organisations and their associations,Deutsche Forschungsgemeinschaft (DFG) e.V.
"Research centres, research infrastructures, and their associations","Research-Development Institute for Plant Protection, Bucharest"
"Research centres, research infrastructures, and their associations",John Innes Centre
"Research centres, research infrastructures, and their associations",Helmholtz Open Science Office
"Research centres, research infrastructures, and their associations",Center For Ethics In Science And Journalism
"Research centres, research infrastructures, and their associations",Institut de Recerca Sant Pau - IR Sant Pau
"Research centres, research infrastructures, and their associations",Fundacion Jimenez Diaz Health Research Institute
"Research centres, research infrastructures, and their associations",Institut Pasteur
"Research centres, research infrastructures, and their associations",INESC INOV-Lab (INESC INOV - Research & Development Laboratory)
"Research centres, research infrastructures, and their associations",Netherlands Federation of University Medical Centres (NFU)
"Research centres, research infrastructures, and their associations",Institute for Systems Engineering and Computers at Coimbra - INESC Coimbra
"Research centres, research infrastructures, and their associations",Fondazione IRCCS Policlinico San Matteo di Pavia
"Research centres, research infrastructures, and their associations",Fundació Institut de Recerca en Energia de Catalunya (IREC)
"Research centres, research infrastructures, and their associations",Leibniz Institute for Psychology (ZPID)
"Research centres, research infrastructures, and their associations",BCAM - BASQUE CENTER FOR APPLIED MATHEMATICS
"Research centres, research infrastructures, and their associations",Interdisciplinary Centre of Marine and Environmental Research (CIIMAR)
"Research centres, research infrastructures, and their associations",Lithuanian Centre for Social Sciences
"Research centres, research infrastructures, and their associations",Association of Healthcare Researchers – Italy
"Research centres, research infrastructures, and their associations",ONERA The French Aerospace Lab
"Research centres, research infrastructures, and their associations",Madeira Chemistry Research Centre
"Research centres, research infrastructures, and their associations",Institute for Educational Research and Innovation - University of Balearic Islands
"Research centres, research infrastructures, and their associations","State Scientific Institution ""Ukrainian Institute of Scientific and Technical Expertise and Information"""
"Research centres, research infrastructures, and their associations",Institute of Economic Sciences
"Research centres, research infrastructures, and their associations","Swiss Federal Institute for Forest, Snow and Landscape Research WSL"
"Research centres, research infrastructures, and their associations",FIZ Karlsruhe – Leibniz Institute for Information Infrastructure
"Research centres, research infrastructures, and their associations",Athena Research & Innovation Center in Information Communication & Knowledge Technologies
"Research centres, research infrastructures, and their associations",Institute for Digitalisation of Education of the NAES of Ukraine
"Research centres, research infrastructures, and their associations",National Institute of Oceanography and Applied Geophysics - OGS
"Research centres, research infrastructures, and their associations",Science for Life Laboratory (SciLifeLab)
"Research centres, research infrastructures, and their associations",Istituto Nazionale di Fisica Nucleare
"Research centres, research infrastructures, and their associations",Centre for Genomic Regulation
"Research centres, research infrastructures, and their associations",French National Institute for Sustainable Development
"Research centres, research infrastructures, and their associations",Josep Carreras Leukaemia Research Institute
"Research centres, research infrastructures, and their associations",Centre for Social Studies
"Research centres, research infrastructures, and their associations",Finnish Environment Institute (Syke)
"Research centres, research infrastructures, and their associations",National Information Processing Institute
"Research centres, research infrastructures, and their associations",IRCCS Ospedale Galeazzi Sant'Ambrogio
"Research centres, research infrastructures, and their associations",Information Society Development Institute
"Research centres, research infrastructures, and their associations",Max-Delbrück-Centrum für Molekulare Medizin in der Helmholtz-Gemeinschaft
"Research centres, research infrastructures, and their associations","INESC-ID: Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento em Lisboa"
"Research centres, research infrastructures, and their associations",Curtin Open Knowledge Initiative
"Research centres, research infrastructures, and their associations",Biomedical Research Center of the Slovak Academy of Sciences
"Research centres, research infrastructures, and their associations",Center for Open Science
"Research centres, research infrastructures, and their associations",ZB MED - Information Centre for Life Sciences
"Research centres, research infrastructures, and their associations",Institute of Agrifood Research and Technology
"Research centres, research infrastructures, and their associations",Educational Research Institute
"Research centres, research infrastructures, and their associations",Ludwig Boltzmann Gesellschaft
"Research centres, research infrastructures, and their associations",CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences
"Research centres, research infrastructures, and their associations",European Research Infrastructure on Highly Pathogenic Agents
"Research centres, research infrastructures, and their associations",CREAF - Centre for Ecological Research and Forestry Applications
"Research centres, research infrastructures, and their associations",Institute of Higher Education of NAES of Ukraine
"Research centres, research infrastructures, and their associations",Global Change Research Institute CAS
"Research centres, research infrastructures, and their associations",Istituto Nazionale Di Geofisica E Vulcanologia
"Research centres, research infrastructures, and their associations",Balearic Islands Health Research Institute Foundation (IdISBa)
"Research centres, research infrastructures, and their associations",Software Sustainability Institute
"Research centres, research infrastructures, and their associations",Knowmad Institut - European Institute for Multidisciplinary Studies on Human Rights and Science
"Research centres, research infrastructures, and their associations",Interdisciplinary Center for Archaeology and the Evolution of Human Behaviour
"Research centres, research infrastructures, and their associations",Netherlands eScience Center
"Research centres, research infrastructures, and their associations",Research on Research Institute (RoRI)
"Research centres, research infrastructures, and their associations",CERCA Institution
"Research centres, research infrastructures, and their associations",Common Language Resources and Technology Infrastructure (CLARIN ERIC)
"Research centres, research infrastructures, and their associations",Institute for Bioengineering of Catalonia
"Research centres, research infrastructures, and their associations",Italian Institute for Environmental Protection and Research
"Research centres, research infrastructures, and their associations","NIFU Nordic institute for studies in innovation, research and education"
"Research centres, research infrastructures, and their associations",Institute for Sustainable Development Environment and Tourism
"Research centres, research infrastructures, and their associations",The Institute for Research and European Studies (IRES)
"Research centres, research infrastructures, and their associations",Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT
"Research centres, research infrastructures, and their associations",VIB
"Research centres, research infrastructures, and their associations",Centre de Recerca Matemàtica (CRM)
"Research centres, research infrastructures, and their associations","Institut National de Recherche pour l'agriculture, l'alimentation et l'environnement"
"Research centres, research infrastructures, and their associations",Institute of Contemporary History
"Research centres, research infrastructures, and their associations",VHIR - Fundació Institut de Recerca Hospital Universitari Vall d'Hebron
"Research centres, research infrastructures, and their associations",HUN-REN HQ
"Research centres, research infrastructures, and their associations",European University Hospital Alliance
"Research centres, research infrastructures, and their associations",Institut Català de Nanociència i Nanotecnologia
"Research centres, research infrastructures, and their associations","Institute of Polish Language, Polish Academy of Sciences"
"Research centres, research infrastructures, and their associations",Jožef Stefan Institute
"Research centres, research infrastructures, and their associations",Consejo Superior de Investigaciones Científicas (CSIC)
"Research centres, research infrastructures, and their associations","Institute of Human Genetics, Polish Academy of Sciences"
"Research centres, research infrastructures, and their associations","EU-LIFE, alliance of leading research institutes in the life sciences in Europe"
"Research centres, research infrastructures, and their associations",Center for Development Evaluation and Social Science Research
"Research centres, research infrastructures, and their associations",Health Data Research UK
"Research centres, research infrastructures, and their associations","Institute of Rural and Agricultural Development, Polish Academy of Sciences (IRWiR PAN)"
"Research centres, research infrastructures, and their associations",The Netherlands Cancer Institute
"Research centres, research infrastructures, and their associations",Institute of Science and Technology Austria (ISTA)
"Research centres, research infrastructures, and their associations",Istituto Italiano di Tecnologia
"Research centres, research infrastructures, and their associations",Czech Academy of Sciences
"Research centres, research infrastructures, and their associations",Leibniz Association
"Research centres, research infrastructures, and their associations",European Molecular Biology Laboratory (EMBL)
"Research centres, research infrastructures, and their associations",Instituto de Investigação e Inovação em Saúde
"Research centres, research infrastructures, and their associations",Consiglio Nazionale delle Ricerche
"Research centres, research infrastructures, and their associations",IFREMER (Institut français de recherche pour l'exploitation de la mer)
"Research centres, research infrastructures, and their associations",Digital Research Infrastructure for the Arts and Humanities (DARIAH)
"Research centres, research infrastructures, and their associations",SOCIB - Balearic Islands Coastal Ocean Observing and Forecasting System
"Research centres, research infrastructures, and their associations",Inria
"Research centres, research infrastructures, and their associations",Ospedale San Raffaele
"Research centres, research infrastructures, and their associations",Berlin Institute of Health
"Research centres, research infrastructures, and their associations",Institut d'Investigacions Biomèdiques August Pi i Sunyer
"Research centres, research infrastructures, and their associations",INESC MN
"Research centres, research infrastructures, and their associations",Institut national de la santé et de la recherche médicale
"Research centres, research infrastructures, and their associations",IdiPAZ - Fundación para la Investigación Biomédica del Hospital Universitario La Paz
"Research centres, research infrastructures, and their associations",Solutions of Artificial Intelligence Applications
"Research centres, research infrastructures, and their associations",J. Heyrovsky Institute of Physical Chemistry of the Czech Academy of Sciences
"Research centres, research infrastructures, and their associations",Biogipuzkoa Health Research Institute
"Research centres, research infrastructures, and their associations",Centre de Coopération Internationale en Recherche Agronomique pour le Développement
"Research centres, research infrastructures, and their associations",Erasmus University Medical Center
"Research centres, research infrastructures, and their associations",European Infrastructure for Translational Medicine
"Research centres, research infrastructures, and their associations","INCEMC Timisoara - The National Institute for Research, Innovation and Development for Electrochemistry and Condensed Matter"
"Research centres, research infrastructures, and their associations",Leibniz Institute of Ecological Urban and Regional Development
"Research centres, research infrastructures, and their associations",INESC Brussels HUB
"Research centres, research infrastructures, and their associations",Centro de Investigação em Artes e Comunicação - CIAC
"Research centres, research infrastructures, and their associations",OPERAS AISBL
"Research centres, research infrastructures, and their associations","INESC TEC – Institute for Systems and Computer Engineering, Technology and Science"
"Research centres, research infrastructures, and their associations",Barcelona Institute for Global Health - ISGlobal
"Research centres, research infrastructures, and their associations",CERN
"Research centres, research infrastructures, and their associations","Centro di Ricerca, Sviluppo e Studi Superiori in Sardegna - CRS4"
"Research centres, research infrastructures, and their associations",CNRS
"Research centres, research infrastructures, and their associations",Good Clinical Practice Alliance - Europe (GCPA)
Romania,"Research-Development Institute for Plant Protection, Bucharest"
Romania,Politehnica University Timisoara
Romania,Spiru Haret University
Romania,"""1 Decembrie 1918” University of Alba Iulia"
Romania,Technical University of Cluj-Napoca
Romania,"Land Forces Academy, Sibiu, Romania"
Romania,Technical University of Civil Engineering Bucharest
Romania,Carol Davila University of Medicine and Pharmacy
Romania,National Council of Rectors
Romania,Agora University of Oradea
Romania,West University of Timisoara
Romania,University POLITEHNICA of Bucharest
Romania,Babes-Bolyai University
Romania,Lucian Blaga University of Sibiu
Romania,Romanian Agency for Quality Assurance in Higher Education (ARACIS)
Romania,Dunarea de Jos University of Galati
Romania,University of Bucharest
Romania,Romanian Academy
Romania,Biomentorhub
Romania,Universitatea Alexandru Ioan Cuza Iasi
Romania,Solutions of Artificial Intelligence Applications
Romania,Institutul pentru Educatie
Romania,"INCEMC Timisoara - The National Institute for Research, Innovation and Development for Electrochemistry and Condensed Matter"
Romania,Institutul Naţional de Cercetare-Dezvoltare în Domeniul Patologiei şi Ştiinţelor Biomedicale „VICTOR BABEŞ”
Romania,Grigore T. Popa University of Medicine and Pharmacy Iasi
Romania,"Executive Agency for Higher Education, Research, Development & Innovation Funding-UEFISCDI"
Serbia,Institute of Economic Sciences
Slovakia,Academy of Performing Arts in Bratislava
Slovakia,Biomedical Research Center of the Slovak Academy of Sciences
Slovakia,Slovak Accreditation Agency for Higher Education
Slovakia,Comenius University Bratislava
Slovenia,University of Primorska
Slovenia,Educational Research Institute
Slovenia,University of Novo mesto
Slovenia,Institute of Contemporary History
Slovenia,University of Maribor
Slovenia,ARRS - Slovenian Research Agency
Slovenia,University of Ljubljana
Slovenia,Jožef Stefan Institute
Slovenia,The Young Academy of Slovenia
Spain,Institut de Recerca Sant Pau - IR Sant Pau
Spain,Fundacion Jimenez Diaz Health Research Institute
Spain,Universidad Miguel Hernández de Elche
Spain,Fundació Institut de Recerca en Energia de Catalunya (IREC)
Spain,BCAM - BASQUE CENTER FOR APPLIED MATHEMATICS
Spain,Index Foundation
Spain,IrsiCaixa
Spain,Foundation for the Promotion of Health and Biomedical Research in the Valencian Region (FISABIO)
Spain,Union of Teaching Workers of the Valencian Country
Spain,Institute for Educational Research and Innovation - University of Balearic Islands
Spain,Canarian Agency for Quality Assessment and Accreditation (ACCUEE)
Spain,University of Vic - Central University of Catalonia (UVic-UCC)
Spain,Seneca Foundation - Science and Technology Agency of the Region of Murcia
Spain,Universidad Internacional de Valencia - VIU
Spain,Universidad de León
Spain,University of La Rioja
Spain,Centre for Genomic Regulation
Spain,"ACEDE, Spanish Academy of Management"
Spain,Josep Carreras Leukaemia Research Institute
Spain,University of the Basque Country UPV/EHU
Spain,Universidad Politécnica de Cartagena
Spain,Catalan Institution for Research and Advanced Studies
Spain,Fernando Pessoa Canarias University
Spain,UCAM Catholic University San Antonio de Murcia
Spain,Institute of Agrifood Research and Technology
Spain,Universidad Alfonso X el Sabio
Spain,Catholic University of Valencia San Vicente Mártir
Spain,University of Zaragoza
Spain,ACPUA Aragon Agency for QA & Strategic  Foresight in Higher Education
Spain,CREAF - Centre for Ecological Research and Forestry Applications
Spain,National University Of Distance Education (UNED)
Spain,Spanish Foundation for Science and Technology (FECYT)
Spain,University of Lleida
Spain,University of Alicante
Spain,Universidad Internacional de La Rioja
Spain,Universidad Politecnica de Madrid
Spain,San Jorge University Foundation
Spain,Balearic Islands Health Research Institute Foundation (IdISBa)
Spain,CEU Cardenal Herrera University
Spain,Aragonese Foundation for Research & Development (ARAID)
Spain,Complutense University of Madrid
Spain,University of Navarra
Spain,National Agency for Quality Assessment and Accreditation of Spain (ANECA)
Spain,CERCA Institution
Spain,Institute for Bioengineering of Catalonia
Spain,Balearic Agency for Quality Assurance in Higher Education
Spain,Jaume I University of Casteló
Spain,Centre de Recerca Matemàtica (CRM)
Spain,UNIVERSIDAD CATÓLICA DE ÁVILA
Spain,Universidad San Pablo
Spain,Universidad a Distancia de Madrid (UDIMA)
Spain,Agencia Valenciana d'Avaluacio i Prospectiva
Spain,Agency for Health Quality and Assessment of Catalonia (AQuAs)
